gen_time_ms,time_accu,command,value,monitor_id
0,0,initiate,0,0
1,31,to:on,0,1
2,31,to:on,0,1
3,31,to:on,0,1
4,31,to:on,0,1
5,31,to:on,0,1
6,31,to:on,0,1
7,31,to:on,0,1
8,31,to:on,0,1
9,31,to:on,0,1
10,31,to:on,0,1
11,31,to:on,0,1
12,31,to:on,0,1
13,31,to:on,0,1
14,31,to:on,0,1
15,31,to:on,0,1
16,31,to:on,0,1
17,31,to:on,0,1
18,31,to:on,0,1
19,31,to:on,0,1
20,31,to:on,0,1
21,31,to:on,0,1
22,31,to:on,0,1
23,31,to:on,0,1
24,31,to:on,0,1
25,31,to:on,0,1
26,31,to:on,0,1
27,31,to:on,0,1
28,31,to:on,0,1
29,31,to:on,0,1
30,31,to:on,0,1
31,31,to:on,0,1
32,718,to:gen:frq,150000,2
33,718,to:gen:frq,150000,2
34,718,to:gen:frq,150000,2
35,718,to:gen:frq,150000,2
36,718,to:gen:frq,150000,2
37,718,to:gen:frq,150000,2
38,718,to:gen:frq,150000,2
39,718,to:gen:frq,150000,2
40,718,to:gen:frq,150000,2
41,718,to:gen:frq,150000,2
42,718,to:gen:frq,150000,2
43,718,to:gen:frq,150000,2
44,718,to:gen:frq,150000,2
45,718,to:gen:frq,150000,2
46,718,to:gen:frq,150000,2
47,718,to:gen:frq,150000,2
48,718,to:gen:frq,150000,2
49,718,to:gen:frq,150000,2
50,718,to:gen:frq,150000,2
51,718,to:gen:frq,150000,2
52,718,to:gen:frq,150000,2
53,718,to:gen:frq,150000,2
54,718,to:gen:frq,150000,2
55,718,to:gen:frq,150000,2
56,718,to:gen:frq,150000,2
57,718,to:gen:frq,150000,2
58,718,to:gen:frq,150000,2
59,718,to:gen:frq,150000,2
60,718,to:gen:frq,150000,2
61,718,to:gen:frq,150000,2
62,718,to:gen:frq,150000,2
63,718,to:gen:frq,150000,2
64,718,to:gen:frq,150000,2
65,718,to:gen:frq,150000,2
66,718,to:gen:frq,150000,2
67,718,to:gen:frq,150000,2
68,718,to:gen:frq,150000,2
69,718,to:gen:frq,150000,2
70,718,to:gen:frq,150000,2
71,718,to:gen:frq,150000,2
72,718,to:gen:frq,150000,2
73,718,to:gen:frq,150000,2
74,718,to:gen:frq,150000,2
75,718,to:gen:frq,150000,2
76,718,to:gen:frq,150000,2
77,718,to:gen:frq,150000,2
78,718,to:gen:frq,150000,2
79,718,to:gen:frq,150000,2
80,718,to:gen:frq,150000,2
81,718,to:gen:frq,150000,2
82,718,to:gen:frq,150000,2
83,718,to:gen:frq,150000,2
84,718,to:gen:frq,150000,2
85,718,to:gen:frq,150000,2
86,718,to:gen:frq,150000,2
87,718,to:gen:frq,150000,2
88,718,to:gen:frq,150000,2
89,718,to:gen:frq,150000,2
90,718,to:gen:frq,150000,2
91,718,to:gen:frq,150000,2
92,718,to:gen:frq,150000,2
93,718,to:gen:frq,150000,2
94,718,to:gen:frq,150000,2
95,718,to:gen:frq,150000,2
96,718,to:gen:frq,150000,2
97,718,to:gen:frq,150000,2
98,718,to:gen:frq,150000,2
99,718,to:gen:frq,150000,2
100,718,to:gen:frq,150000,2
101,718,to:gen:frq,150000,2
102,718,to:gen:frq,150000,2
103,718,to:gen:frq,150000,2
104,718,to:gen:frq,150000,2
105,718,to:gen:frq,150000,2
106,718,to:gen:frq,150000,2
107,718,to:gen:frq,150000,2
108,718,to:gen:frq,150000,2
109,718,to:gen:frq,150000,2
110,718,to:gen:frq,150000,2
111,718,to:gen:frq,150000,2
112,718,to:gen:frq,150000,2
113,718,to:gen:frq,150000,2
114,718,to:gen:frq,150000,2
115,718,to:gen:frq,150000,2
116,718,to:gen:frq,150000,2
117,718,to:gen:frq,150000,2
118,718,to:gen:frq,150000,2
119,718,to:gen:frq,150000,2
120,718,to:gen:frq,150000,2
121,718,to:gen:frq,150000,2
122,718,to:gen:frq,150000,2
123,718,to:gen:frq,150000,2
124,718,to:gen:frq,150000,2
125,718,to:gen:frq,150000,2
126,718,to:gen:frq,150000,2
127,718,to:gen:frq,150000,2
128,718,to:gen:frq,150000,2
129,718,to:gen:frq,150000,2
130,718,to:gen:frq,150000,2
131,718,to:gen:frq,150000,2
132,718,to:gen:frq,150000,2
133,718,to:gen:frq,150000,2
134,718,to:gen:frq,150000,2
135,718,to:gen:frq,150000,2
136,718,to:gen:frq,150000,2
137,718,to:gen:frq,150000,2
138,718,to:gen:frq,150000,2
139,718,to:gen:frq,150000,2
140,718,to:gen:frq,150000,2
141,718,to:gen:frq,150000,2
142,718,to:gen:frq,150000,2
143,718,to:gen:frq,150000,2
144,718,to:gen:frq,150000,2
145,718,to:gen:frq,150000,2
146,718,to:gen:frq,150000,2
147,718,to:gen:frq,150000,2
148,718,to:gen:frq,150000,2
149,718,to:gen:frq,150000,2
150,718,to:gen:frq,150000,2
151,718,to:gen:frq,150000,2
152,718,to:gen:frq,150000,2
153,718,to:gen:frq,150000,2
154,718,to:gen:frq,150000,2
155,718,to:gen:frq,150000,2
156,718,to:gen:frq,150000,2
157,718,to:gen:frq,150000,2
158,718,to:gen:frq,150000,2
159,718,to:gen:frq,150000,2
160,718,to:gen:frq,150000,2
161,718,to:gen:frq,150000,2
162,718,to:gen:frq,150000,2
163,718,to:gen:frq,150000,2
164,718,to:gen:frq,150000,2
165,718,to:gen:frq,150000,2
166,718,to:gen:frq,150000,2
167,718,to:gen:frq,150000,2
168,718,to:gen:frq,150000,2
169,718,to:gen:frq,150000,2
170,718,to:gen:frq,150000,2
171,718,to:gen:frq,150000,2
172,718,to:gen:frq,150000,2
173,718,to:gen:frq,150000,2
174,718,to:gen:frq,150000,2
175,718,to:gen:frq,150000,2
176,718,to:gen:frq,150000,2
177,718,to:gen:frq,150000,2
178,718,to:gen:frq,150000,2
179,718,to:gen:frq,150000,2
180,718,to:gen:frq,150000,2
181,718,to:gen:frq,150000,2
182,718,to:gen:frq,150000,2
183,718,to:gen:frq,150000,2
184,718,to:gen:frq,150000,2
185,718,to:gen:frq,150000,2
186,718,to:gen:frq,150000,2
187,718,to:gen:frq,150000,2
188,718,to:gen:frq,150000,2
189,718,to:gen:frq,150000,2
190,718,to:gen:frq,150000,2
191,718,to:gen:frq,150000,2
192,718,to:gen:frq,150000,2
193,718,to:gen:frq,150000,2
194,718,to:gen:frq,150000,2
195,718,to:gen:frq,150000,2
196,718,to:gen:frq,150000,2
197,718,to:gen:frq,150000,2
198,718,to:gen:frq,150000,2
199,718,to:gen:frq,150000,2
200,718,to:gen:frq,150000,2
201,718,to:gen:frq,150000,2
202,718,to:gen:frq,150000,2
203,718,to:gen:frq,150000,2
204,718,to:gen:frq,150000,2
205,718,to:gen:frq,150000,2
206,718,to:gen:frq,150000,2
207,718,to:gen:frq,150000,2
208,718,to:gen:frq,150000,2
209,718,to:gen:frq,150000,2
210,718,to:gen:frq,150000,2
211,718,to:gen:frq,150000,2
212,718,to:gen:frq,150000,2
213,718,to:gen:frq,150000,2
214,718,to:gen:frq,150000,2
215,718,to:gen:frq,150000,2
216,718,to:gen:frq,150000,2
217,718,to:gen:frq,150000,2
218,718,to:gen:frq,150000,2
219,718,to:gen:frq,150000,2
220,718,to:gen:frq,150000,2
221,718,to:gen:frq,150000,2
222,718,to:gen:frq,150000,2
223,718,to:gen:frq,150000,2
224,718,to:gen:frq,150000,2
225,718,to:gen:frq,150000,2
226,718,to:gen:frq,150000,2
227,718,to:gen:frq,150000,2
228,718,to:gen:frq,150000,2
229,718,to:gen:frq,150000,2
230,718,to:gen:frq,150000,2
231,718,to:gen:frq,150000,2
232,718,to:gen:frq,150000,2
233,718,to:gen:frq,150000,2
234,718,to:gen:frq,150000,2
235,718,to:gen:frq,150000,2
236,718,to:gen:frq,150000,2
237,718,to:gen:frq,150000,2
238,718,to:gen:frq,150000,2
239,718,to:gen:frq,150000,2
240,718,to:gen:frq,150000,2
241,718,to:gen:frq,150000,2
242,718,to:gen:frq,150000,2
243,718,to:gen:frq,150000,2
244,718,to:gen:frq,150000,2
245,718,to:gen:frq,150000,2
246,718,to:gen:frq,150000,2
247,718,to:gen:frq,150000,2
248,718,to:gen:frq,150000,2
249,718,to:gen:frq,150000,2
250,718,to:gen:frq,150000,2
251,718,to:gen:frq,150000,2
252,718,to:gen:frq,150000,2
253,718,to:gen:frq,150000,2
254,718,to:gen:frq,150000,2
255,718,to:gen:frq,150000,2
256,718,to:gen:frq,150000,2
257,718,to:gen:frq,150000,2
258,718,to:gen:frq,150000,2
259,718,to:gen:frq,150000,2
260,718,to:gen:frq,150000,2
261,718,to:gen:frq,150000,2
262,718,to:gen:frq,150000,2
263,718,to:gen:frq,150000,2
264,718,to:gen:frq,150000,2
265,718,to:gen:frq,150000,2
266,718,to:gen:frq,150000,2
267,718,to:gen:frq,150000,2
268,718,to:gen:frq,150000,2
269,718,to:gen:frq,150000,2
270,718,to:gen:frq,150000,2
271,718,to:gen:frq,150000,2
272,718,to:gen:frq,150000,2
273,718,to:gen:frq,150000,2
274,718,to:gen:frq,150000,2
275,718,to:gen:frq,150000,2
276,718,to:gen:frq,150000,2
277,718,to:gen:frq,150000,2
278,718,to:gen:frq,150000,2
279,718,to:gen:frq,150000,2
280,718,to:gen:frq,150000,2
281,718,to:gen:frq,150000,2
282,718,to:gen:frq,150000,2
283,718,to:gen:frq,150000,2
284,718,to:gen:frq,150000,2
285,718,to:gen:frq,150000,2
286,718,to:gen:frq,150000,2
287,718,to:gen:frq,150000,2
288,718,to:gen:frq,150000,2
289,718,to:gen:frq,150000,2
290,718,to:gen:frq,150000,2
291,718,to:gen:frq,150000,2
292,718,to:gen:frq,150000,2
293,718,to:gen:frq,150000,2
294,718,to:gen:frq,150000,2
295,718,to:gen:frq,150000,2
296,718,to:gen:frq,150000,2
297,718,to:gen:frq,150000,2
298,718,to:gen:frq,150000,2
299,718,to:gen:frq,150000,2
300,718,to:gen:frq,150000,2
301,718,to:gen:frq,150000,2
302,718,to:gen:frq,150000,2
303,718,to:gen:frq,150000,2
304,718,to:gen:frq,150000,2
305,718,to:gen:frq,150000,2
306,718,to:gen:frq,150000,2
307,718,to:gen:frq,150000,2
308,718,to:gen:frq,150000,2
309,718,to:gen:frq,150000,2
310,718,to:gen:frq,150000,2
311,718,to:gen:frq,150000,2
312,718,to:gen:frq,150000,2
313,718,to:gen:frq,150000,2
314,718,to:gen:frq,150000,2
315,718,to:gen:frq,150000,2
316,718,to:gen:frq,150000,2
317,718,to:gen:frq,150000,2
318,718,to:gen:frq,150000,2
319,718,to:gen:frq,150000,2
320,718,to:gen:frq,150000,2
321,718,to:gen:frq,150000,2
322,718,to:gen:frq,150000,2
323,718,to:gen:frq,150000,2
324,718,to:gen:frq,150000,2
325,718,to:gen:frq,150000,2
326,718,to:gen:frq,150000,2
327,718,to:gen:frq,150000,2
328,718,to:gen:frq,150000,2
329,718,to:gen:frq,150000,2
330,718,to:gen:frq,150000,2
331,718,to:gen:frq,150000,2
332,718,to:gen:frq,150000,2
333,718,to:gen:frq,150000,2
334,718,to:gen:frq,150000,2
335,718,to:gen:frq,150000,2
336,718,to:gen:frq,150000,2
337,718,to:gen:frq,150000,2
338,718,to:gen:frq,150000,2
339,718,to:gen:frq,150000,2
340,718,to:gen:frq,150000,2
341,718,to:gen:frq,150000,2
342,718,to:gen:frq,150000,2
343,718,to:gen:frq,150000,2
344,718,to:gen:frq,150000,2
345,718,to:gen:frq,150000,2
346,718,to:gen:frq,150000,2
347,718,to:gen:frq,150000,2
348,718,to:gen:frq,150000,2
349,718,to:gen:frq,150000,2
350,718,to:gen:frq,150000,2
351,718,to:gen:frq,150000,2
352,718,to:gen:frq,150000,2
353,718,to:gen:frq,150000,2
354,718,to:gen:frq,150000,2
355,718,to:gen:frq,150000,2
356,718,to:gen:frq,150000,2
357,718,to:gen:frq,150000,2
358,718,to:gen:frq,150000,2
359,718,to:gen:frq,150000,2
360,718,to:gen:frq,150000,2
361,718,to:gen:frq,150000,2
362,718,to:gen:frq,150000,2
363,718,to:gen:frq,150000,2
364,718,to:gen:frq,150000,2
365,718,to:gen:frq,150000,2
366,718,to:gen:frq,150000,2
367,718,to:gen:frq,150000,2
368,718,to:gen:frq,150000,2
369,718,to:gen:frq,150000,2
370,718,to:gen:frq,150000,2
371,718,to:gen:frq,150000,2
372,718,to:gen:frq,150000,2
373,718,to:gen:frq,150000,2
374,718,to:gen:frq,150000,2
375,718,to:gen:frq,150000,2
376,718,to:gen:frq,150000,2
377,718,to:gen:frq,150000,2
378,718,to:gen:frq,150000,2
379,718,to:gen:frq,150000,2
